id,rank,title_en,year,rating,persons
tt0986264,121,Like Stars on Earth,(2007),"8.2 based on 197,568 user ratings","Aamir Khan (dir.), Darsheel Safary, Aamir Khan"
tt8579674,122,1917,(2019),"8.2 based on 617,984 user ratings","Sam Mendes (dir.), Dean-Charles Chapman, George MacKay"
tt1745960,123,Top Gun: Maverick,(2022),"8.2 based on 581,173 user ratings","Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly"
tt0363163,124,Downfall,(2004),"8.2 based on 361,746 user ratings","Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara"
tt5074352,125,Dangal,(2016),"8.2 based on 196,763 user ratings","Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar"
tt0059578,126,For a Few Dollars More,(1965),"8.2 based on 262,240 user ratings","Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef"
tt0372784,127,Batman Begins,(2005),"8.2 based on 1,499,507 user ratings","Christopher Nolan (dir.), Christian Bale, Michael Caine"
tt0012349,128,The Kid,(1921),"8.2 based on 129,047 user ratings","Charles Chaplin (dir.), Charles Chaplin, Edna Purviance"
tt0053291,129,Some Like It Hot,(1959),"8.2 based on 272,611 user ratings","Billy Wilder (dir.), Marilyn Monroe, Tony Curtis"
tt10272386,130,The Father,(2020),"8.2 based on 166,983 user ratings","Florian Zeller (dir.), Anthony Hopkins, Olivia Colman"
tt0042192,131,All About Eve,(1950),"8.2 based on 133,806 user ratings","Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter"
tt0993846,132,The Wolf of Wall Street,(2013),"8.2 based on 1,457,500 user ratings","Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill"
tt6966692,133,Green Book,(2018),"8.2 based on 516,547 user ratings","Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali"
tt0055031,134,Judgment at Nuremberg,(1961),"8.2 based on 79,728 user ratings","Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster"
tt6791350,135,Guardians of the Galaxy Vol. 3,(2023),"8.2 based on 81,684 user ratings","James Gunn (dir.), Chris Pratt, Chukwudi Iwuji"
tt0089881,136,Ran,(1985),"8.2 based on 128,774 user ratings","Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao"
tt0112641,137,Casino,(1995),"8.2 based on 533,166 user ratings","Martin Scorsese (dir.), Robert De Niro, Sharon Stone"
tt0120382,138,The Truman Show,(1998),"8.2 based on 1,113,440 user ratings","Peter Weir (dir.), Jim Carrey, Ed Harris"
tt0469494,139,There Will Be Blood,(2007),"8.2 based on 600,861 user ratings","Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano"
tt0457430,140,Pan's Labyrinth,(2006),"8.2 based on 679,800 user ratings","Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil"
tt0105695,141,Unforgiven,(1992),"8.2 based on 419,961 user ratings","Clint Eastwood (dir.), Clint Eastwood, Gene Hackman"
tt1130884,142,Shutter Island,(2010),"8.2 based on 1,355,972 user ratings","Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer"
tt0167404,143,The Sixth Sense,(1999),"8.2 based on 1,009,164 user ratings","M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment"
